Ms,maxfield,t
-1576.0,7.939903986478338,4854.0
-1556.0,7.901550123756913,4855.0
-1534.0,7.862884321366223,4856.0
-1532.0,7.823908105765895,4857.0
-1532.0,7.784623015670229,4858.0
-1544.0,7.745030601987358,4859.0
-1540.0,7.705132427757891,4860.0
-1588.0,7.664930068093523,4861.0
-1590.0,7.624425110114483,4862.0
-1572.0,7.583619152887202,4863.0
-1608.0,7.542513807361048,4864.0
-1592.0,7.5011106963046315,4865.0
-1598.0,7.459411454241836,4866.0
-1612.0,7.417417727387385,4867.0
-1616.0,7.375131173581711,4868.0
-1640.0,7.332553462225599,4869.0
-1648.0,7.289686274214141,4870.0
-1650.0,7.246531301870471,4871.0
-1568.0,7.203090248879052,4872.0
-1632.0,7.159364830218323,4873.0
-1654.0,7.115356772092891,4874.0
-1668.0,7.07106781186549,4875.0
-1656.0,7.026499697988485,4876.0
-1694.0,6.981654189934749,4877.0
-1666.0,6.936533058128048,4878.0
-1690.0,6.8911380838735115,4879.0
-1674.0,6.845471059286891,4880.0
-1734.0,6.799533787224226,4881.0
-1672.0,6.753328081210254,4882.0
-1742.0,6.7068557653671865,4883.0
-1722.0,6.660118674342533,4884.0
-1742.0,6.613118653236512,4885.0
-1732.0,6.565857557529586,4886.0
-1808.0,6.518337253008786,4887.0
-1772.0,6.470559615694471,4888.0
-1776.0,6.422526531765849,4889.0
-1778.0,6.374239897486932,4890.0
-1786.0,6.325701619131255,4891.0
-1790.0,6.2769136129069905,4892.0
-1816.0,6.2278778048811425,4893.0
-1812.0,6.178596130903391,4894.0
-1836.0,6.129070536529788,4895.0
-1848.0,6.079302976946051,4896.0
-1830.0,6.02929541689022,4897.0
-1864.0,5.9790498305751925,4898.0
-1848.0,5.928568201610629,4899.0
-1860.0,5.8778525229247425,4900.0
-1848.0,5.826904796685746,4901.0
-1912.0,5.775727034222693,4902.0
-1906.0,5.724321255945959,4903.0
-1926.0,5.6726894912675885,4904.0
-1928.0,5.620833778521304,4905.0
-1920.0,5.568756164881852,4906.0
-1970.0,5.516458706284306,4907.0
-1962.0,5.463943467342728,4908.0
-1960.0,5.411212521268769,4909.0
-1948.0,5.3582679497899495,4910.0
-1960.0,5.305111843067358,4911.0
-2036.0,5.2517462996129485,4912.0
-1992.0,5.198173426207119,4913.0
-2046.0,5.144395337815062,4914.0
-2040.0,5.090414157503744,4915.0
-2082.0,5.036232016357612,4916.0
-2042.0,4.981851053394885,4917.0
-2054.0,4.927273415482927,4918.0
-2084.0,4.872501257253369,4919.0
-2098.0,4.817536741017171,4920.0
-2152.0,4.762382036679381,4921.0
-2152.0,4.707039321653351,4922.0
-2118.0,4.651510780774643,4923.0
-2142.0,4.5957986062149105,4924.0
-2198.0,4.539904997395472,4925.0
-2198.0,4.483832160900299,4926.0
-2182.0,4.427582310389026,4927.0
-2232.0,4.371157666509376,4928.0
-2292.0,4.314560456809608,4929.0
-2258.0,4.257792915650716,4930.0
-2286.0,4.200857284118023,4931.0
-2272.0,4.143755809932903,4932.0
-2264.0,4.0864907473635235,4933.0
-2306.0,4.0290643571366305,4934.0
-2326.0,3.9714789063477807,4935.0
-2378.0,3.913736668372035,4936.0
-2350.0,3.8558399227740123,4937.0
-2356.0,3.7977909552180296,4938.0
-2326.0,3.7395920573779935,4939.0
-2388.0,3.6812455268468054,4940.0
-2376.0,3.622753667045453,4941.0
-2388.0,3.56411878713254,4942.0
-2414.0,3.5053432019125936,4943.0
-2406.0,3.446429231745211,4944.0
-2450.0,3.387379202452925,4945.0
-2448.0,3.3281954452298472,4946.0
-2442.0,3.268880296549443,4947.0
-2458.0,3.209436098072083,4948.0
-2446.0,3.149865196553074,4949.0
-2444.0,3.09016994374947,4950.0
-2466.0,3.0303526963277734,4951.0
-2466.0,2.9704158157703526,4952.0
-2476.0,2.9103616682827593,4953.0
-2466.0,2.850192624699772,4954.0
-2478.0,2.7899110603922725,4955.0
-2470.0,2.7295193551732706,4956.0
-2484.0,2.6690198932038123,4957.0
-2476.0,2.6084150628989953,4958.0
-2470.0,2.5477072568338173,4959.0
-2480.0,2.4868988716485125,4960.0
-2488.0,2.4259923079540773,4961.0
-2486.0,2.3649899702372883,4962.0
-2490.0,2.3038942667659166,4963.0
-2484.0,2.2427076094937917,4964.0
-2486.0,2.1814324139654437,4965.0
-2492.0,2.120071099220603,4966.0
-2494.0,2.058626087698839,4967.0
-2494.0,1.9970998051440652,4968.0
-2486.0,1.9354946805085667,4969.0
-2492.0,1.8738131458572491,4970.0
-2492.0,1.812057636271415,4971.0
-2490.0,1.7502305897527708,4972.0
-2494.0,1.6883344471273178,4973.0
-2492.0,1.6263716519488542,4974.0
-2488.0,1.5643446504022958,4975.0
-2488.0,1.5022558912075965,4976.0
-2498.0,1.4401078255225164,4977.0
-2496.0,1.3779029068464144,4978.0
-2496.0,1.3156435909228272,4979.0
-2496.0,1.2533323356430839,4980.0
-2498.0,1.1909716009487075,4981.0
-2494.0,1.1285638487348661,4982.0
-2500.0,1.066111542752617,4983.0
-2494.0,1.0036171485121352,4984.0
-2496.0,0.9410831331851689,4985.0
-2500.0,0.8785119655074968,4986.0
-2498.0,0.8159061156816092,4987.0
-2500.0,0.7532680552793293,4988.0
-2496.0,0.6906002571440285,4989.0
-2500.0,0.6279051952931436,4990.0
-2498.0,0.5651853448202946,4991.0
-2500.0,0.5024431817977133,4992.0
-2500.0,0.43968118317863514,4993.0
-2500.0,0.3769018266992999,4994.0
-2498.0,0.31410759078134787,4995.0
-2494.0,0.25130095443340816,4996.0
