a_frac,b_frac,c_frac,time
0.2932,0.3268,0.38,2.1699999999999977
0.2932,0.3264,0.3804,2.1799999999999975
0.2932,0.326,0.3808,2.1899999999999973
0.2924,0.3264,0.3812,2.199999999999997
0.2924,0.3268,0.3808,2.209999999999997
0.2912,0.3276,0.3812,2.2199999999999966
0.2896,0.3284,0.382,2.2299999999999964
0.29,0.3288,0.3812,2.239999999999996
0.29,0.3296,0.3804,2.249999999999996
0.2904,0.3316,0.378,2.259999999999996
0.2908,0.3316,0.3776,2.2699999999999956
0.2904,0.332,0.3776,2.2799999999999954
0.29,0.3324,0.3776,2.289999999999995
0.2892,0.3328,0.378,2.299999999999995
0.2896,0.3332,0.3772,2.3099999999999947
0.2896,0.334,0.3764,2.3199999999999945
0.2892,0.3348,0.376,2.3299999999999943
0.2896,0.3348,0.3756,2.339999999999994
0.2896,0.3352,0.3752,2.349999999999994
0.29,0.3348,0.3752,2.3599999999999937
0.2904,0.3344,0.3752,2.3699999999999934
0.2892,0.3344,0.3764,2.3799999999999932
0.2888,0.3348,0.3764,2.389999999999993
0.2896,0.3344,0.376,2.399999999999993
0.2904,0.3344,0.3752,2.4099999999999926
0.2896,0.3356,0.3748,2.4199999999999924
0.2896,0.3364,0.374,2.429999999999992
0.2888,0.3376,0.3736,2.439999999999992
0.2888,0.3372,0.374,2.4499999999999917
0.2888,0.3376,0.3736,2.4599999999999915
0.2872,0.3392,0.3736,2.4699999999999913
0.2872,0.3396,0.3732,2.479999999999991
0.2868,0.3388,0.3744,2.489999999999991
0.2872,0.338,0.3748,2.4999999999999907
0.2872,0.3388,0.374,2.5099999999999905
0.2868,0.34,0.3732,2.5199999999999902
0.2868,0.3396,0.3736,2.52999999999999
0.2872,0.34,0.3728,2.53999999999999
0.2876,0.3396,0.3728,2.5499999999999896
0.2876,0.3388,0.3736,2.5599999999999894
0.2876,0.3388,0.3736,2.569999999999989
0.2876,0.3384,0.374,2.579999999999989
0.2864,0.3384,0.3752,2.5899999999999888
0.2864,0.3388,0.3748,2.5999999999999885
0.2868,0.338,0.3752,2.6099999999999883
0.2872,0.338,0.3748,2.619999999999988
0.2868,0.3384,0.3748,2.629999999999988
0.2864,0.3388,0.3748,2.6399999999999877
0.2864,0.3392,0.3744,2.6499999999999875
0.286,0.3404,0.3736,2.6599999999999873
0.2852,0.3404,0.3744,2.669999999999987
0.2856,0.34,0.3744,2.679999999999987
0.2852,0.3404,0.3744,2.6899999999999866
0.2852,0.3412,0.3736,2.6999999999999864
0.2848,0.342,0.3732,2.709999999999986
0.2848,0.342,0.3732,2.719999999999986
0.2844,0.3428,0.3728,2.7299999999999858
0.2844,0.3432,0.3724,2.7399999999999856
0.2828,0.344,0.3732,2.7499999999999853
0.2828,0.344,0.3732,2.759999999999985
0.2828,0.344,0.3732,2.769999999999985
0.2824,0.3444,0.3732,2.7799999999999847
0.2824,0.3444,0.3732,2.7899999999999845
0.2824,0.3448,0.3728,2.7999999999999843
0.2816,0.3464,0.372,2.809999999999984
0.2816,0.3468,0.3716,2.819999999999984
0.282,0.3472,0.3708,2.8299999999999836
0.2816,0.348,0.3704,2.8399999999999834
0.2816,0.3492,0.3692,2.849999999999983
0.2824,0.348,0.3696,2.859999999999983
0.2812,0.348,0.3708,2.869999999999983
0.2812,0.3484,0.3704,2.8799999999999826
0.2812,0.348,0.3708,2.8899999999999824
0.2816,0.3472,0.3712,2.899999999999982
0.282,0.3464,0.3716,2.909999999999982
0.2816,0.3464,0.372,2.9199999999999817
0.2808,0.3468,0.3724,2.9299999999999815
0.2808,0.3468,0.3724,2.9399999999999813
0.28,0.348,0.372,2.949999999999981
0.2812,0.3468,0.372,2.959999999999981
0.2812,0.3472,0.3716,2.9699999999999807
0.2812,0.3472,0.3716,2.9799999999999804
0.2812,0.348,0.3708,2.9899999999999802
0.2812,0.3488,0.37,2.99999999999998
0.2816,0.348,0.3704,3.00999999999998
0.2812,0.3484,0.3704,3.0199999999999796
0.2804,0.3484,0.3712,3.0299999999999794
0.28,0.348,0.372,3.039999999999979
0.28,0.3492,0.3708,3.049999999999979
0.2796,0.3492,0.3712,3.0599999999999787
0.2796,0.3496,0.3708,3.0699999999999785
0.2788,0.3504,0.3708,3.0799999999999783
0.2792,0.35,0.3708,3.089999999999978
0.2792,0.35,0.3708,3.099999999999978
0.2792,0.35,0.3708,3.1099999999999777
0.2788,0.3508,0.3704,3.1199999999999775
0.2776,0.352,0.3704,3.1299999999999772
0.2772,0.3528,0.37,3.139999999999977
0.2776,0.3524,0.37,3.149999999999977
0.2772,0.3536,0.3692,3.1599999999999766
0.2764,0.3544,0.3692,3.1699999999999764
0.2756,0.3548,0.3696,3.179999999999976
0.2756,0.3552,0.3692,3.189999999999976
0.2756,0.3564,0.368,3.1999999999999758
0.2756,0.3576,0.3668,3.2099999999999755
0.2764,0.3576,0.366,3.2199999999999753
0.2756,0.3576,0.3668,3.229999999999975
0.276,0.358,0.366,3.239999999999975
0.2752,0.3584,0.3664,3.2499999999999747
0.2748,0.3588,0.3664,3.2599999999999745
0.2748,0.3588,0.3664,3.2699999999999743
0.2748,0.3588,0.3664,3.279999999999974
0.2744,0.3588,0.3668,3.289999999999974
0.2752,0.3592,0.3656,3.2999999999999736
0.2744,0.3592,0.3664,3.3099999999999734
0.2744,0.3592,0.3664,3.319999999999973
0.2744,0.3592,0.3664,3.329999999999973
0.2744,0.3592,0.3664,3.3399999999999728
0.2744,0.3592,0.3664,3.3499999999999726
0.2744,0.3592,0.3664,3.3599999999999723
0.274,0.3596,0.3664,3.369999999999972
0.2752,0.3584,0.3664,3.379999999999972
0.2748,0.3588,0.3664,3.3899999999999717
0.2744,0.3588,0.3668,3.3999999999999715
0.2748,0.3588,0.3664,3.4099999999999713
0.2748,0.3592,0.366,3.419999999999971
0.2748,0.3596,0.3656,3.429999999999971
0.274,0.3604,0.3656,3.4399999999999706
0.2736,0.3604,0.366,3.4499999999999704
0.2736,0.36,0.3664,3.45999999999997
0.274,0.3604,0.3656,3.46999999999997
0.274,0.3612,0.3648,3.47999999999997
0.2744,0.3608,0.3648,3.4899999999999696
0.274,0.3608,0.3652,3.4999999999999694
0.2728,0.3612,0.366,3.509999999999969
0.2728,0.3616,0.3656,3.519999999999969
0.2724,0.362,0.3656,3.5299999999999687
0.2716,0.362,0.3664,3.5399999999999685
0.272,0.3628,0.3652,3.5499999999999683
0.272,0.3628,0.3652,3.559999999999968
0.272,0.3628,0.3652,3.569999999999968
0.2716,0.3628,0.3656,3.5799999999999677
0.2704,0.3636,0.366,3.5899999999999674
0.2704,0.364,0.3656,3.5999999999999672
0.2704,0.3644,0.3652,3.609999999999967
0.2704,0.3644,0.3652,3.619999999999967
0.2704,0.3644,0.3652,3.6299999999999666
0.2696,0.3652,0.3652,3.6399999999999664
0.2688,0.3656,0.3656,3.649999999999966
0.2692,0.3668,0.364,3.659999999999966
0.2692,0.3672,0.3636,3.6699999999999657
0.2692,0.368,0.3628,3.6799999999999655
0.2696,0.3684,0.362,3.6899999999999653
0.2696,0.3688,0.3616,3.699999999999965
0.2696,0.3688,0.3616,3.709999999999965
0.27,0.3692,0.3608,3.7199999999999647
0.27,0.3692,0.3608,3.7299999999999645
0.27,0.3692,0.3608,3.7399999999999642
0.2696,0.3692,0.3612,3.749999999999964
0.2692,0.3696,0.3612,3.759999999999964
0.2692,0.3692,0.3616,3.7699999999999636
0.2684,0.3696,0.362,3.7799999999999634
0.2684,0.37,0.3616,3.789999999999963
0.2684,0.37,0.3616,3.799999999999963
0.268,0.3708,0.3612,3.8099999999999627
0.2688,0.3704,0.3608,3.8199999999999625
0.2688,0.37,0.3612,3.8299999999999623
0.2688,0.3704,0.3608,3.839999999999962
0.268,0.3716,0.3604,3.849999999999962
0.2676,0.3724,0.36,3.8599999999999617
0.2668,0.3724,0.3608,3.8699999999999615
0.2668,0.3724,0.3608,3.8799999999999613
0.266,0.3732,0.3608,3.889999999999961
0.2656,0.3728,0.3616,3.899999999999961
0.2656,0.3732,0.3612,3.9099999999999606
0.2656,0.3732,0.3612,3.9199999999999604
0.2652,0.3732,0.3616,3.92999999999996
0.2644,0.3744,0.3612,3.93999999999996
0.264,0.3748,0.3612,3.9499999999999598
0.2636,0.3748,0.3616,3.9599999999999596
0.2636,0.3756,0.3608,3.9699999999999593
0.2624,0.3756,0.362,3.979999999999959
0.2624,0.3764,0.3612,3.989999999999959
0.262,0.3764,0.3616,3.9999999999999587
0.262,0.3772,0.3608,4.009999999999959
0.2624,0.3784,0.3592,4.019999999999959
0.262,0.3788,0.3592,4.0299999999999585
0.2616,0.3792,0.3592,4.039999999999958
0.2616,0.3792,0.3592,4.049999999999958
0.2616,0.3792,0.3592,4.059999999999958
0.2608,0.3808,0.3584,4.069999999999958
0.2612,0.3804,0.3584,4.079999999999957
0.2608,0.3812,0.358,4.089999999999957
0.2612,0.382,0.3568,4.099999999999957
0.2608,0.3824,0.3568,4.109999999999957
0.2604,0.3832,0.3564,4.119999999999957
0.2604,0.3832,0.3564,4.129999999999956
0.2604,0.3836,0.356,4.139999999999956
0.2596,0.384,0.3564,4.149999999999956
0.26,0.384,0.356,4.159999999999956
0.26,0.384,0.356,4.1699999999999555
0.2604,0.384,0.3556,4.179999999999955
0.2604,0.3844,0.3552,4.189999999999955
0.26,0.3848,0.3552,4.199999999999955
0.2592,0.3848,0.356,4.209999999999955
0.2596,0.3844,0.356,4.2199999999999545
0.2596,0.3848,0.3556,4.229999999999954
0.2596,0.3848,0.3556,4.239999999999954
0.2596,0.3844,0.356,4.249999999999954
0.2604,0.3844,0.3552,4.259999999999954
0.2604,0.3836,0.356,4.269999999999953
0.2596,0.3844,0.356,4.279999999999953
0.2596,0.3848,0.3556,4.289999999999953
0.2584,0.386,0.3556,4.299999999999953
0.258,0.3868,0.3552,4.3099999999999525
0.258,0.3864,0.3556,4.319999999999952
0.258,0.3868,0.3552,4.329999999999952
0.2564,0.3876,0.356,4.339999999999952
0.2552,0.3884,0.3564,4.349999999999952
0.2548,0.3884,0.3568,4.3599999999999515
0.2548,0.3884,0.3568,4.369999999999951
0.2552,0.3884,0.3564,4.379999999999951
0.254,0.3884,0.3576,4.389999999999951
0.2544,0.3884,0.3572,4.399999999999951
0.254,0.3888,0.3572,4.40999999999995
0.2532,0.3896,0.3572,4.41999999999995
0.2528,0.39,0.3572,4.42999999999995
0.2532,0.3896,0.3572,4.43999999999995
0.2532,0.3892,0.3576,4.4499999999999496
0.2528,0.3896,0.3576,4.459999999999949
0.2528,0.3896,0.3576,4.469999999999949
0.2528,0.3904,0.3568,4.479999999999949
0.254,0.39,0.356,4.489999999999949
0.254,0.3908,0.3552,4.4999999999999485
0.254,0.3912,0.3548,4.509999999999948
0.2536,0.3916,0.3548,4.519999999999948
0.2536,0.3916,0.3548,4.529999999999948
0.2532,0.3916,0.3552,4.539999999999948
0.2536,0.392,0.3544,4.549999999999947
0.2532,0.3928,0.354,4.559999999999947
0.2532,0.3928,0.354,4.569999999999947
0.2532,0.3932,0.3536,4.579999999999947
0.2532,0.394,0.3528,4.589999999999947
0.2532,0.3948,0.352,4.599999999999946
0.2528,0.3964,0.3508,4.609999999999946
0.2528,0.3964,0.3508,4.619999999999946
0.2528,0.3964,0.3508,4.629999999999946
0.2528,0.3972,0.35,4.6399999999999455
0.252,0.3972,0.3508,4.649999999999945
0.252,0.3972,0.3508,4.659999999999945
0.2524,0.3968,0.3508,4.669999999999945
0.2524,0.3968,0.3508,4.679999999999945
0.2524,0.3972,0.3504,4.689999999999944
0.252,0.398,0.35,4.699999999999944
0.252,0.3984,0.3496,4.709999999999944
0.252,0.3984,0.3496,4.719999999999944
0.2516,0.3992,0.3492,4.729999999999944
0.2496,0.3992,0.3512,4.739999999999943
0.2496,0.3992,0.3512,4.749999999999943
0.25,0.3988,0.3512,4.759999999999943
0.25,0.3992,0.3508,4.769999999999943
0.25,0.3992,0.3508,4.7799999999999425
0.2504,0.3996,0.35,4.789999999999942
0.2496,0.4004,0.35,4.799999999999942
0.25,0.4004,0.3496,4.809999999999942
0.2496,0.4004,0.35,4.819999999999942
0.2496,0.4008,0.3496,4.8299999999999415
0.2484,0.4008,0.3508,4.839999999999941
